"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ANGPT4",-4.06158362678957,1.40554198606272,-28.4853145833285,7.36774494320362e-112,1.5125980368397e-107,244.597275855595
"PYCR1",3.67123470133292,10.9766947735192,28.1104803254821,6.18583006618687e-110,6.34975456294083e-106,240.190952419419
"RTKN2",-4.58047976633211,8.22891236933799,-25.8512593734645,2.92285312569894e-98,2.00020582235331e-94,213.450257317619
"C10orf67",-4.70902232680603,2.17088745644599,-25.6735374086559,2.4468802473556e-97,1.25586128695526e-93,211.336219058325
"ANGPTL7",-4.45245290768475,1.68072543554007,-25.6172591954027,4.79657509046669e-97,1.76574637672486e-93,210.666543790232
"C13orf36",-6.46342304426533,2.49268153310104,-25.611145296292,5.16048624469029e-97,1.76574637672486e-93,210.59378570072
"SH3GL3",-5.11471009708743,1.99471794425087,-25.4369007418978,4.14994724269418e-96,1.21712024132159e-92,208.519680709526
"OVCH1",-4.32596858318253,1.43051045296167,-25.3431760289943,1.27405925629246e-95,3.26955456646052e-92,207.403642224935
"OTUD1",-2.08686960671385,8.71465644599303,-25.0204017676989,6.07632204430881e-94,1.38607657299622e-90,203.558287538239
"RS1",-4.45277236794476,2.54478118466899,-25.0045984322443,7.34256421627744e-94,1.50742843360176e-90,203.369947312717
"SLC6A4",-7.97053388184967,3.77497770034844,-24.7969732656908,8.83285512089181e-93,1.64853196029008e-89,200.89500937506
"CD5L",-4.04272383741981,1.71845644599303,-24.7499814640268,1.55112054029033e-92,2.65370872434671e-89,200.334734427008
"SGCG",-4.33185500740501,2.61442229965157,-24.5246111922729,2.31040751231284e-91,3.64866663290636e-88,197.647149652154
"PECAM1",-2.29851141023533,10.4743857142857,-24.2404176292936,6.9712891240092e-90,1.02228975511364e-86,194.257082924293
"MYOC",-4.72399916077017,1.95961445993031,-24.0867424580535,4.40082209323838e-89,6.0232585049456e-86,192.423615069454
"PTPRQ",-5.06724348527238,2.23164965156795,-24.0020323681096,1.21523651375152e-88,1.55930035170742e-85,191.412895659655
"CHRNA2",-3.28495506664474,1.07684965156794,-23.9955248956119,1.31385932297567e-88,1.58667834709944e-85,191.335250405242
"STX11",-3.29135490538097,7.79819407665506,-23.9438274692392,2.4421256894599e-88,2.78538002247844e-85,190.718406907605
"EPAS1",-2.70162365640944,13.0221829268293,-23.9161116138558,3.40488021652393e-88,3.67906267606506e-85,190.387703816059
"C16orf59",3.57582247490541,6.2762524390244,23.7307844670788,3.14208173380775e-87,3.20240981092056e-84,188.176380348824
"LOC158376",-2.67174671713018,4.23682787456446,-23.7273107246833,3.27572362539365e-87,3.20240981092056e-84,188.134931881186
"HTR3C",-3.89595649169,1.1289243902439,-23.5048669849246,4.71685736293562e-86,4.40168553004856e-83,185.480839057384
"ACVRL1",-2.61354861938458,9.46462020905923,-23.4876278739331,5.7998616209713e-86,5.17700691645829e-83,185.275161351807
"OTC",-2.96690645713347,0.908333972125435,-23.2027807834737,1.76378425548593e-84,1.50877044854692e-81,181.877084928187
"KCNA4",-4.33623251933524,1.83339982578397,-23.1886293359862,2.08983649233371e-84,1.71617372750444e-81,181.708290224908
"RAMP2",-2.94681407931547,8.15444076655052,-23.1436773540833,3.58183867882134e-84,2.82827492600778e-81,181.172133877751
"C13orf15",-2.96915879545831,9.86740975609756,-23.0851741225048,7.22135930234846e-84,5.49090764730422e-81,180.474393422952
"CD300LG",-5.89521248642427,2.81637700348432,-23.030759280779,1.38620985958637e-83,1.01638887204672e-80,179.825463594007
"CELA2B",-2.00492280401516,0.369742857142857,-23.0271201091716,1.44800068962123e-83,1.0250846261353e-80,179.78206610223
"WWC2",-2.46946797432946,9.50163693379792,-22.9526008112262,3.53650941755717e-83,2.42015127808162e-80,178.893469243846
"HBM",-1.3202581043278,0.243208885017422,-22.9401757512201,4.10422836104725e-83,2.71805833071936e-80,178.745318314229
"S1PR1",-2.94710010202405,9.00570278745644,-22.9250929237094,4.91718667355886e-83,3.15468257525511e-80,178.565481452744
"ITLN2",-6.75748245844997,2.91732909407665,-22.8350499944942,1.44617697108154e-82,8.99697370191033e-80,177.491972153223
"GYPE",-3.64515940431137,3.22534268292683,-22.726119381181,5.3320374512593e-82,3.2196096727751e-79,176.193523700247
"EMP2",-2.91910203718943,12.4072857142857,-22.6854556507568,8.67757903357327e-82,5.09001993026455e-79,175.708887882645
"CHRM1",-4.70519499424063,2.07128240418118,-22.6658217141081,1.09777763641552e-81,6.26038190989181e-79,175.474903228345
"OR6K3",-1.74850705611323,0.368690418118467,-22.6483507639002,1.35324597670717e-81,7.50868645994546e-79,175.266704212299
"FAM107A",-4.96705724535137,7.58588885017422,-22.6441961922265,1.42227370082113e-81,7.68402080996256e-79,175.217195928701
"TEK",-3.56414187263455,7.71111567944251,-22.606922648387,2.22238974770016e-81,1.16988875693036e-78,174.773043788342
"LDB2",-2.74698311008724,8.20459094076655,-22.4933731896518,8.65395169149331e-81,4.44164070565894e-78,173.420230521213
"EDNRB",-3.8653374592727,8.2649775261324,-22.4316095889823,1.81250374652984e-80,9.0757809551848e-78,172.684550844584
"OVCH2",-3.20004675333225,1.10283554006969,-22.3868305895985,3.09755508167704e-80,1.51411442444833e-77,172.15125495109
"CYP1A2",-3.90084179035713,1.15475818815331,-22.3830187883147,3.24212415297053e-80,1.54792578745314e-77,172.1058613254
"KANK3",-2.93265032417314,6.77137578397212,-22.3644526006275,4.04872550311548e-80,1.8890985131582e-77,171.884769002937
"FABP4",-6.16306362349849,5.80134912891986,-22.26558150503,1.32149175641564e-79,6.02893905760293e-77,170.707579991047
"GPM6A",-5.96523172618074,4.8629480836237,-22.1027180044834,9.26781814055638e-79,4.13626753099179e-76,168.769266249782
"CAV1",-4.07920456146128,11.2210271777003,-22.0937540162303,1.03162821424188e-78,4.50623983795442e-76,168.662611954445
"PALM2-AKAP2",-2.57131448082938,10.0728182926829,-22.0848993427739,1.14683222993351e-78,4.90509701677812e-76,168.557261520059
"SSTR4",-1.23266467006748,0.254593728222997,-22.0625722917783,1.49769633521188e-78,6.27504199222449e-76,168.291634844976
"ADCY8",-4.60375205529049,1.47494912891986,-21.9702162724172,4.51695599998608e-78,1.85466213359428e-75,167.193092065882
"HSPA12B",-2.9173399012671,6.86146672473868,-21.8485689332926,1.93226856986928e-77,7.77832818419928e-75,165.746716933989
"LIMS2",-2.96962825078166,8.35835296167248,-21.8134660777552,2.938721331983e-77,1.1602297874156e-74,165.329475563435
"RAMP3",-3.1757788086227,8.11540226480837,-21.7398056351874,7.08232950002916e-77,2.72053355571185e-74,164.454123946197
"ROBO4",-2.93299815698538,8.78263658536586,-21.7389411356533,7.15581159320213e-77,2.72053355571185e-74,164.443852174507
"PTPN21",-2.61487212440351,8.57818867595818,-21.7356792853398,7.43999636692145e-77,2.77714773477995e-74,164.405096007016
"SPOCK2",-3.53938571992762,10.5164221254355,-21.6910473800682,1.26759634273751e-76,4.64709873507161e-74,163.874849572779
"TAL1",-2.96445711699855,5.70281968641115,-21.6615468717261,1.80264897484679e-76,6.49269885150959e-74,163.524427029039
"FAM83A",6.23114667763704,9.46823414634147,21.6586137845508,1.86687467088641e-76,6.6080925850514e-74,163.489588761168
"ALDH18A1",1.59536402501236,10.9520789198606,21.6290180881835,2.6577664797316e-76,9.24812641167624e-74,163.13808598424
"CDH5",-2.64285509297353,9.94139895470382,-21.5912782850475,4.16967096801764e-76,1.42672241622337e-73,162.689924988255
"FHL1",-3.9845962349844,9.24244146341463,-21.5574619653916,6.24201522815636e-76,2.10079627268934e-73,162.288421203847
"PRX",-3.43447116998522,7.98852735191637,-21.4436790005232,2.42492893045577e-75,7.96808544655639e-73,160.93793805279
"IQGAP3",3.73355044594375,8.41551202090592,21.4429825340105,2.4451504292891e-75,7.96808544655639e-73,160.929674023959
"FGF10",-2.50468498601286,0.794410975609756,-21.3428650974782,8.06531106181614e-75,2.58720056404821e-72,159.742015501631
"CLEC3B",-4.23837837748893,8.00488222996515,-21.3077030085476,1.22629536098961e-74,3.87320673247948e-72,159.325044274426
"AGER",-6.758780773408,9.34731846689897,-21.2888281128912,1.53555129364431e-74,4.77649516038148e-72,159.101247191264
"CHRM2",-2.876960437716,0.849734668989547,-21.2774163983477,1.75917962880918e-74,5.39044145961978e-72,158.965950894162
"ADRA1A",-3.66621687674844,1.55253101045296,-21.1227874329323,1.10923196349336e-73,3.3489017956645e-71,157.133512624762
"WNT3A",-5.13366050024688,3.55864930313589,-21.0905237318763,1.62853502126631e-73,4.84548173718803e-71,156.751370562015
"TMEM177",1.62560729307225,7.6407,21.0807062759677,1.8303683859519e-73,5.36820899479894e-71,156.63510346539
"PRKCE",-2.01360673358567,8.33021254355402,-21.0155230414876,3.97524166483593e-73,1.14946072364904e-70,155.863315094968
"ADM2",3.38652263287809,7.79171533101046,20.987082396521,5.57552480658578e-73,1.58979894832231e-70,155.52666346353
"C2orf71",-3.80565211782133,1.72116864111498,-20.9091789029455,1.40798984776514e-72,3.95973035268743e-70,154.604819553017
"SEMA3G",-3.14288190883663,7.39708048780488,-20.8811280588091,1.96523243798257e-72,5.45219215564624e-70,154.272998873871
"UBE2T",3.26159266414352,7.86399947735192,20.7788011558349,6.62925621115462e-72,1.81464840020006e-69,153.063051695456
"CYP3A7",-3.58802941583021,1.66941567944251,-20.7299229052173,1.18460505842225e-71,3.19999234860641e-69,152.485385032896
"AGBL1",-3.09833814052988,1.23559825783972,-20.7102437027674,1.49642052521234e-71,3.98980693280642e-69,152.252860122811
"C9orf140",3.48228408096103,7.96223031358884,20.7069668631763,1.55578681999433e-71,4.09491069416456e-69,152.214144745976
"ODAM",-4.39934334046407,1.77137770034843,-20.6994209430161,1.70160143582992e-71,4.42200980728965e-69,152.12499408409
"CALCRL",-2.93349202896168,9.25697822299651,-20.6913437640407,1.87284847143954e-71,4.80619738983171e-69,152.029571977035
"GCOM1",-3.72759708079648,6.94081585365854,-20.6574470795761,2.80055583813546e-71,7.06686073496712e-69,151.62918113086
"C20orf202",-2.50617427349023,2.86468832752613,-20.6567860668559,2.82261363987971e-71,7.06686073496712e-69,151.621374114355
"C20orf160",-2.71297548461414,5.95340470383275,-20.6531961774221,2.94547474363942e-71,7.28561403456836e-69,151.578975665283
"MND1",3.37441499094951,5.108443728223,20.6205819298494,4.33752971802028e-71,1.06011291798758e-68,151.193832988775
"SH2D3C",-2.34042774395263,8.54400836236933,-20.6055859772633,5.18221893382668e-71,1.25165829072308e-68,151.01677478866
"STARD13",-2.18950949481654,8.14043275261324,-20.6044245685706,5.25412126399023e-71,1.25426871569441e-68,151.003062739143
"CMTM5",-2.24228749053811,0.95722543554007,-20.6026767810127,5.36420963590398e-71,1.26583015890929e-68,150.982427880919
"LY6G6F",-1.48074922494653,0.311212543554007,-20.5719150833869,7.72663400255758e-71,1.80258859173304e-68,150.619288663235
"KIF20A",3.39264864571337,7.91874895470383,20.5680077452173,8.09316740965435e-71,1.86688457213712e-68,150.573168557222
"GRK5",-2.66139496791182,8.555556271777,-20.5555873884423,9.37770976295681e-71,2.13915979370559e-68,150.426573949223
"ETV4",3.77039630409744,9.15258414634146,20.5415648352858,1.10744274325481e-70,2.49843950758474e-68,150.261084704122
"TOP2A",3.74470716471947,10.4250101045296,20.5356001031903,1.18861444279759e-70,2.65241896854724e-68,150.190696105287
"NECAB1",-3.71579708079648,5.66330296167248,-20.4122211920743,5.13063244112659e-70,1.13260090340139e-67,148.735417492701
"GOLM1",2.49123374691462,12.1653898954704,20.3497546295753,1.07525981578538e-69,2.34841319341211e-67,147.999126363957
"E2F8",3.37334525588287,6.5480331010453,20.2866640214037,2.2693927570099e-69,4.90427718962244e-67,147.255840935033
"PTPRB",-2.88587556689159,9.57614268292683,-20.2612405043181,3.06609669967964e-69,6.55697554629407e-67,146.956424884788
"RXFP1",-3.73565064011851,3.07530365853658,-20.2507691555537,3.47056876891695e-69,7.34544090988298e-67,146.833120097437
"RBP2",-4.10012839558998,1.5896743902439,-20.2024734513703,6.14533808042224e-69,1.28738562031703e-66,146.264551198731
"SCUBE1",-4.49999332236305,4.73792073170732,-20.162034431154,9.91399104599347e-69,2.05590137549743e-66,145.78864831208
"JAM2",-2.61280155010698,6.70954303135889,-20.1493330312049,1.15204977344024e-68,2.36515818487281e-66,145.639205766014
"FOXF1",-2.82430450880371,7.31974094076655,-20.1478120280534,1.17295475719428e-68,2.38423377873253e-66,145.621310952212
"CDC20",3.80057744939941,8.54597491289198,20.1383212624152,1.31223631576758e-68,2.64119721203023e-66,145.509655882291
"SRPK1",1.5231147079151,10.63873728223,20.0899242927292,2.32513909837321e-68,4.63447628054389e-66,144.94042270375
"UHRF1",3.39340645055129,7.58496445993032,20.0716220003841,2.88651720111904e-68,5.69809597490133e-66,144.725216242901
"CAV3",-2.95044615435249,1.10508710801394,-20.0186320014786,5.39796908902115e-68,1.05543147997718e-65,144.102326267271
"CYYR1",-2.33335914431465,8.00513344947735,-20.0146418574192,5.65843285607271e-68,1.0959210050488e-65,144.05543420811
"SDPR",-3.75387951620869,9.58903153310104,-19.9951200350046,7.12549488093164e-68,1.36716270939744e-65,143.826037761543
"SGEF",-3.00241841369099,8.17280609756098,-19.9562925101613,1.12692223112755e-67,2.14219568565265e-65,143.369900983375
"GIMAP8",-2.62698258351162,8.40227386759583,-19.898255952133,2.23530057777381e-67,4.21015787721984e-65,142.688393699591
"BUB1B",3.548498548626,7.48637944250871,19.8908833038647,2.43843034107771e-67,4.55099771839322e-65,142.601844117669
"SLC39A8",-2.81196200427845,11.2160266550523,-19.7910965486576,7.9091333989799e-67,1.46283341154106e-64,141.430992297634
"GPIHBP1",-4.49715387855854,5.73061916376306,-19.7902536721113,7.9880977936207e-67,1.46424685449137e-64,141.421106967279
"ST8SIA6",-3.7290712028962,2.41769494773519,-19.7663593960969,1.05861517878758e-66,1.92330704606275e-64,141.140905225259
"PPP1R14B",2.06397747243707,10.6652451219512,19.7515005130206,1.26117265709662e-66,2.27121707457839e-64,140.96669082609
"KIF2C",3.7506445351325,7.98083379790941,19.746162932092,1.34302975330079e-66,2.39760007263175e-64,140.904115812169
"MYCT1",-2.37330685864738,7.37709355400697,-19.7358102435281,1.5172386347302e-66,2.6852507906044e-64,140.782755309698
"KIF4A",3.99622162580224,7.68875,19.7286789366327,1.65020290771414e-66,2.89561245259583e-64,140.699164736589
"GPR146",-2.32776169820637,6.89152334494774,-19.7213314245864,1.79938598187508e-66,3.13062662778775e-64,140.61304581952
"CAT",-2.03515407931547,10.963093554007,-19.6946729519326,2.46306937649763e-66,4.2493121260081e-64,140.300637250651
"EFNA4",2.14138122099722,8.40095714285713,19.6910436072404,2.57061645722935e-66,4.39789632224321e-64,140.258111422519
"CCDC141",-4.03282254072736,4.04209425087108,-19.6102494551287,6.65356910348847e-66,1.12890722061668e-63,139.311816391404
"FGD5",-2.40674800724043,8.73549651567944,-19.6087339825729,6.7732737915429e-66,1.13979763065882e-63,139.294073692938
"CDC25C",3.76283447424719,5.50926567944251,19.582032690873,9.27302632705142e-66,1.54776610158021e-63,138.981506641211
"RSPO1",-4.02735220997207,3.22177857142857,-19.5808672399336,9.40102538984748e-66,1.55647621978684e-63,138.967865684797
"NUF2",3.84638390982396,7.03057473867596,19.5754597907868,1.00184009140654e-65,1.6454221661261e-63,138.90457656648
"RASIP1",-2.4966092841863,7.65460574912893,-19.5639961599212,1.14644663185567e-65,1.86798010730135e-63,138.770416822737
"PAICS",1.79214652295542,11.0820837979094,19.5379876265583,1.55660677301995e-65,2.51631000394484e-63,138.466094155753
"AKAP2",-2.91170517031432,9.58777142857142,-19.5309735936433,1.69041580525202e-65,2.7112684751425e-63,138.384037462377
"SPAG5",3.10659660358732,8.7303181184669,19.4954797837314,2.56561325302693e-65,4.08310388253045e-63,137.968887291698
"DLGAP5",3.8440820799737,7.41267560975609,19.4846366167556,2.9142925108185e-65,4.60234040362337e-63,137.842091116883
"CLEC1A",-2.42663550765182,5.80054303135889,-19.4690557043175,3.49981573719983e-65,5.48482573165744e-63,137.659918110357
"NCKAP5",-4.62539634359063,5.98582282229965,-19.4425433939336,4.77873462242676e-65,7.43238043927435e-63,137.350001792066
"CLEC4M",-3.48747629093305,1.37258066202091,-19.4324840818705,5.37807208929263e-65,8.30164060099081e-63,137.232435500741
"ARHGAP6",-2.75184540727335,6.14204198606273,-19.3905128551937,8.80377719916146e-65,1.34881750670735e-62,136.742038102106
"CLEC14A",-2.36366656903079,9.01410226480837,-19.3850146152182,9.39078123864623e-65,1.42809436169931e-62,136.677811954407
"KCNT2",-3.50534792496301,4.42565278745644,-19.3824505316395,9.67774351340878e-65,1.46091231125208e-62,136.64786160635
"ARHGEF15",-2.58262702649336,7.66733972125436,-19.3762148747294,1.04127080312242e-64,1.5603861013214e-62,136.575028018661
"PTPN5",-3.34289269705449,1.65044355400697,-19.346250409726,1.48011158201478e-64,2.20193411440314e-62,136.225104941287
"FGFBP2",-3.75685284844498,3.27899094076655,-19.3417317094437,1.56071055306029e-64,2.30513580246963e-62,136.172345547594
"RCC1",2.04918593714005,9.76592142857144,19.2985552408816,2.58999980676171e-64,3.79804971662985e-62,135.668355250811
