gene,importance
TNNC1,0.09945088422781519
GPM6A,0.09430713688470696
CLIC5,0.09195373520353657
AGER,0.062452718171917825
CNTN6,0.047731662578397685
SFTPC,0.04220452890149591
C10orf67,0.041462568747711905
CLEC3B,0.04085386697803373
RS1,0.038932391717176426
CLDN18,0.03870186985179405
AQP4,0.03393943725696079
ADAMTS8,0.027562353467283397
FAM83A,0.023767220876046272
FABP4,0.023731128331942648
SGCG,0.022986054228028553
SH3GL3,0.020044912181011284
SCUBE1,0.019045601639622326
GPIHBP1,0.018438189055478196
LGI3,0.01574281094907547
ACADL,0.012691272025460247
CA4,0.012680986199919416
PTPRQ,0.012422468413719532
ODAM,0.012301098613003604
WNT3A,0.010308669322520147
ITLN2,0.009521810779587678
MMP11,0.009407459332079126
FAM107A,0.008751356138226165
PEBP4,0.007113784868290576
B3GNT3,0.006694187826066683
RPL13AP17,0.006633490995442965
COL10A1,0.006578335084022054
C19orf59,0.006324456565009235
C13orf36,0.006055316377571222
CD300LG,0.006042189615577536
ATP10B,0.005588425394521125
ADH1B,0.0036321148319845473
SFTPA1,0.0035631209982195464
UPK3B,0.00333543995398838
ANXA8L2,0.0032294060802810754
RTKN2,0.0032191053975828446
MYOC,0.0031731868685657156
SLC6A4,0.0031374578162149153
PPP1R14D,0.0029264327374516987
GRIA1,0.002902471327528442
CHRM1,0.002831556042165393
TMEM100,0.0026643577108598523
PLA2G1B,0.001997577143668266
TMPRSS4,0.0016209280659248567
SYT12,0.0012283454862693057
WIF1,0.001060048479183386
EEF1A2,0.0010254137610464832
ABCA12,0.0010240338612359382
?|729884,0.0008218797684574602
KIAA0408,0.0007532689651072622
GKN2,0.0007332731583112163
CYP24A1,0.0007091688656392975
TRHDE,0.0006923024474477361
LOC84740,0.0006814259147227348
KCNA4,0.0006744562525426918
CRABP2,0.0006730397806817786
SPP1,0.0006424939737065246
XAGE1D,0.0006416658680158382
COL11A1,0.0005603552478392514
PTPRH,0.000508091449993779
SFTPA2,0.00045890992111960704
B3GNT6,0.0004314658512843595
OVCH1,0.000410131082401685
NCKAP5,0.00039895973688469524
SCGB1A1,0.0003860966024152778
PITX2,0.00037687613968732074
F11,0.00035128806104131887
MMP12,0.0003097004294511437
GPD1,0.0003083321863181681
MS4A15,0.0002925364103897615
CPB2,0.0002606787091357759
C8B,0.00024887238059730446
ITLN1,0.0002444909709050264
CST1,0.00023403004821942396
HBA1,0.00023136621719309667
CA9,0.00022924904668647348
ADCY8,0.00019246740565166486
SOSTDC1,0.00016811014813121366
HBB,0.00016803578725319197
GREM1,0.00014524934824858962
HHIP,0.000135144415615167
AGTR2,0.00013031774698626814
SLCO1A2,0.00012440482327948687
FCN3,9.956817183692718e-05
PRAME,9.276900386992228e-05
FIGF,8.216444601616033e-05
SPINK1,7.446307975427669e-05
PITX1,6.800787139460857e-05
MMP1,6.447060826544626e-05
LOC149620,5.302399778064201e-05
CYP4B1,4.53288977274135e-05
MMP13,4.066517347867593e-05
ANKRD1,3.0974593852919895e-05
HBA2,2.5053633438122473e-05
KRT4,1.1926948664085021e-16
ANGPTL7,9.162180280741698e-17
